"","PD_DESC","OFNS_DESC","LAW_CAT_CD","AGE_GROUP","PERP_SEX","PERP_RACE","Latitude","Longitude","YEAR"
"184","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","25-44","M","BLACK",40.668897201,-73.898480256,2017
"185","MARIJUANA, SALE 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK",40.669615171,-73.906838722,2017
"186","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.665378493,-73.732530318,2017
"187","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.8405569400001,-73.928417514,2017
"188","CONTROLLED SUBSTANCE, POSSESSION 4","DANGEROUS DRUGS","F","18-24","M","WHITE HISPANIC",40.752520399,-73.867265925,2017
"189","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","25-44","F","BLACK",40.6488671330001,-73.9508218999999,2017
"190","CONTROLLED SUBSTANCE,POSSESS. 1","DANGEROUS DRUGS","F","45-64","M","WHITE HISPANIC",40.71546033,-74.001898881,2017
"191","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE",40.715526213,-74.0012387479999,2017
"192","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE",40.722797981,-73.8519563569999,2017
"193","MISCHIEF,CRIMINAL,    UNCL 2ND","CRIMINAL MISCHIEF & RELATED OFFENSES","F","25-44","M","BLACK",40.684345009,-73.9278496539999,2017
"194","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","<18","F","BLACK",40.6482736460001,-73.9058018379999,2017
"195","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","BLACK",40.573022333,-73.9938281299999,2017
"196","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.667109203,-73.746523994,2017
"197","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","18-24","M","BLACK",40.8111562130001,-73.9098232009999,2017
"198","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE HISPANIC",40.82265698,-73.945418344,2017
"199","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE HISPANIC",40.73448548,-73.868012689,2017
"200","WEAPONS POSSESSION 3","DANGEROUS WEAPONS","F","25-44","M","BLACK",40.757240531,-73.9897936369999,2017
"201","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","M","BLACK",40.6688060930001,-73.9311215669999,2017
"202","US CODE,UNCLASSIFIED","F.C.A. P.I.N.O.S.","","25-44","M","ASIAN / PACIFIC ISLANDER",40.7149661500001,-74.005654028,2017
"203","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.6688060930001,-73.9311215669999,2017
"204","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","25-44","M","WHITE",40.7695612420001,-73.9153634469999,2017
"205","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","18-24","M","BLACK",40.5909741990001,-73.978275632,2017
"206","DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2","DANGEROUS DRUGS","M","25-44","F","BLACK",40.661096839,-73.919703735,2017
"207","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","WHITE HISPANIC",40.7124641120001,-73.828356194,2017
"208","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","F","WHITE HISPANIC",40.745402502,-73.8619533469999,2017
"209","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","BLACK",40.8233872910001,-73.87017045,2017
"210","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.8175034610001,-73.941975939,2017
"211","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","65+","M","BLACK",40.69484878,-73.983903485,2017
"212","RECKLESS ENDANGERMENT 2","OFFENSES AGAINST THE PERSON","M","<18","M","BLACK HISPANIC",40.557138632,-74.114732934,2017
"213","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","45-64","F","BLACK",40.7950407660001,-73.971643157,2017
"214","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","18-24","M","ASIAN / PACIFIC ISLANDER",40.701013383,-73.891990124,2017
"215","PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","M","WHITE",40.7514631880001,-73.949468494,2017
"216","LARCENY,GRAND FROM PERSON,UNCLASSIFIED","GRAND LARCENY","F","25-44","M","BLACK",40.804384046,-73.9374216689999,2017
"217","TRESPASS 2, CRIMINAL","CRIMINAL TRESPASS","M","45-64","M","BLACK",40.7967904430001,-73.9394044059999,2017
"218","WEAPONS POSSESSION 1 & 2","DANGEROUS WEAPONS","F","<18","M","WHITE HISPANIC",40.793979332,-73.938446293,2017
"219","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","18-24","M","BLACK",40.578887261,-73.985745783,2017
"220","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.8274187420001,-73.899915006,2017
"221","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","M","BLACK",40.8160888740001,-73.917688689,2017
"222","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","WHITE",40.8126320150001,-73.963016104,2017
"223","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.6811342840001,-73.964455485,2017
"224","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","WHITE",40.73975965,-74.002523863,2017
"225","WEAPONS POSSESSION 1 & 2","DANGEROUS WEAPONS","F","18-24","M","BLACK",40.673202944,-73.946012906,2017
"226","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK",40.694602483,-73.9731247289999,2017
"227","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","WHITE HISPANIC",40.6402326990001,-74.1366681219999,2017
"228","MARIJUANA, SALE 4 & 5","DANGEROUS DRUGS","M","18-24","M","ASIAN / PACIFIC ISLANDER",40.708431616,-73.787024087,2017
"229","CRIMINAL MISCHIEF 4TH, GRAFFITI","CRIMINAL MISCHIEF & RELATED OFFENSES","M","25-44","M","WHITE",40.6232268190001,-74.1492269729999,2017
"230","BRIBERY,PUBLIC ADMINISTRATION","MISCELLANEOUS PENAL LAW","F","25-44","M","BLACK HISPANIC",40.826617293,-73.9031392909999,2017
"231","ADM.CODE,UNCLASSIFIED VIOLATION","ADMINISTRATIVE CODE","V","25-44","M","WHITE HISPANIC",40.706840437,-73.931186867,2017
"232","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","25-44","M","BLACK HISPANIC",40.8648168980001,-73.9193637669999,2017
"233","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","25-44","M","ASIAN / PACIFIC ISLANDER",40.7177427010001,-73.9827904809999,2017
"234","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","WHITE HISPANIC",40.867812518,-73.862505507,2017
"235","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","45-64","M","WHITE",40.684404016,-73.978338944,2017
"236","NY STATE LAWS,UNCLASSIFIED VIOLATION","OTHER STATE LAWS","V","25-44","M","WHITE",40.7373689550001,-73.996840424,2017
"237","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.688006988,-73.928574064,2017
"238","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","WHITE",40.6430875300001,-73.960292231,2017
"239","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","25-44","F","BLACK",40.714005603,-74.002082807,2017
"240","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","45-64","M","WHITE",40.5478442890001,-74.220361517,2017
"241","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","<18","M","BLACK",40.7099844900001,-73.9964413439999,2017
"242","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","45-64","M","WHITE HISPANIC",40.861340635,-73.925329452,2017
"243","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE",40.6232268190001,-74.1492269729999,2017
"244","CONTEMPT,CRIMINAL","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","F","WHITE HISPANIC",40.7156705730001,-73.9839417439999,2017
"245","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","F","BLACK",40.6386007030001,-73.962986442,2017
"246","ADM.CODE,UNCLASSIFIED VIOLATION","ADMINISTRATIVE CODE","V","18-24","M","BLACK",40.592771278,-73.995893085,2017
"247","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","BLACK",40.798963998,-73.9503137199999,2017
"248","TRAFFIC,UNCLASSIFIED INFRACTION","OTHER TRAFFIC INFRACTION","M","25-44","M","WHITE",40.7464980340001,-74.0013295489999,2017
"249","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","BLACK",40.660619233,-73.9426133979999,2017
"250","MISCHIEF,CRIMINAL,    UNCL 2ND","CRIMINAL MISCHIEF & RELATED OFFENSES","F","18-24","M","BLACK",40.6443449070001,-74.084833746,2017
"251","TRESPASS 2, CRIMINAL","CRIMINAL TRESPASS","M","25-44","M","WHITE HISPANIC",40.6907223430001,-73.96635071,2017
"252","WEAPONS POSSESSION 3","DANGEROUS WEAPONS","F","25-44","M","BLACK",40.80023233,-73.939397661,2017
"253","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","F","WHITE",40.511586338,-74.249303727,2017
"254","MENACING,UNCLASSIFIED","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.6874016190001,-73.940369194,2017
"255","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","ASIAN / PACIFIC ISLANDER",40.682398289,-73.840079369,2017
"256","RECKLESS ENDANGERMENT 2","OFFENSES AGAINST THE PERSON","M","25-44","M","WHITE",40.614987731,-73.938452856,2017
"257","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","45-64","M","WHITE HISPANIC",40.7620438930001,-73.827329581,2017
"258","GAMBLING 2,PROMOTING,UNCLASSIFIED","GAMBLING","M","45-64","M","WHITE HISPANIC",40.644787556,-73.9489258789999,2017
"259","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","18-24","M","WHITE",40.721792328,-74.00642664,2017
"260","RESISTING ARREST","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","18-24","M","WHITE HISPANIC",40.6435219530001,-73.9721867969999,2017
"261","ADM.CODE,UNCLASSIFIED VIOLATION","ADMINISTRATIVE CODE","V","25-44","M","BLACK",40.735783278,-73.8106258029999,2017
"262","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","25-44","M","BLACK",40.8281601740001,-73.934909676,2017
"263","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.8337763590001,-73.918429299,2017
"264","ADM.CODE,UNCLASSIFIED VIOLATION","ADMINISTRATIVE CODE","V","18-24","F","WHITE HISPANIC",40.6325044820001,-74.02736835,2017
"265","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","M","BLACK",40.6450373010001,-73.919978909,2017
"266","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","WHITE",40.760764728,-73.9158944279999,2017
"267","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","BLACK",40.6995292830001,-73.989809683,2017
"268","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.8278199010001,-73.925930756,2017
"269","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","25-44","M","BLACK HISPANIC",40.8636981770001,-73.9170657719999,2017
"270","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","18-24","M","BLACK",40.6361037510001,-74.137326221,2017
"271","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","<18","F","BLACK",40.8770756590001,-73.9060996599999,2017
"272","ALCOHOLIC BEVERAGE CONTROL LAW","ALCOHOLIC BEVERAGE CONTROL LAW","M","45-64","M","BLACK",40.576645978,-73.9764803959999,2017
"273","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","45-64","M","BLACK",40.6488671330001,-73.9508218999999,2017
"274","SEXUAL ABUSE 3,2","FORCIBLE TOUCHING","M","18-24","M","BLACK",40.800694331,-73.941109286,2017
"275","TAMPERING 1,CRIMINAL","CRIMINAL MISCHIEF & RELATED OFFENSES","F","45-64","M","BLACK",40.7226432470001,-74.0055933479999,2017
"276","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE HISPANIC",40.8377816180001,-73.919457971,2017
"277","WEAPONS POSSESSION 3","DANGEROUS WEAPONS","F","18-24","M","BLACK",40.7996652640001,-73.9471997799999,2017
"278","MARIJUANA, POSSESSION 1, 2 & 3","DANGEROUS DRUGS","F","25-44","M","BLACK",40.8040739570001,-73.932664835,2017
"279","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","WHITE",40.7883227570001,-73.976503131,2017
"280","CRIMINAL CONTEMPT 1","MISCELLANEOUS PENAL LAW","F","18-24","M","BLACK",40.680048726,-73.775909194,2017
"281","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","25-44","M","WHITE HISPANIC",40.7262877750001,-73.987796005,2017
"282","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","WHITE HISPANIC",40.713218399,-73.977380897,2017
"283","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","45-64","M","WHITE HISPANIC",40.832774193,-73.9458256149999,2017
"284","WEAPONS POSSESSION 3","DANGEROUS WEAPONS","F","25-44","M","WHITE HISPANIC",40.619578333,-74.0814991349999,2017
"285","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","BLACK",40.666522859,-73.8983577069999,2017
"286","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","BLACK",40.6698547250001,-73.7773889819999,2017
"287","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","F","BLACK",40.808374136,-73.9468858229999,2017
"288","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","ASIAN / PACIFIC ISLANDER",40.7960578400001,-73.967052307,2017
"289","STOLEN PROPERTY 2,1,POSSESSION,UNCLASSIFIED","POSSESSION OF STOLEN PROPERTY","F","18-24","M","WHITE HISPANIC",40.8682911710001,-73.9010647109999,2017
"290","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.835094247,-73.9080489149999,2017
"291","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","25-44","F","WHITE HISPANIC",40.8233872910001,-73.87017045,2017
"292","DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2","DANGEROUS DRUGS","M","25-44","M","BLACK",40.6712128230001,-73.900509895,2017
"293","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","18-24","M","WHITE HISPANIC",40.7005755100001,-73.912948124,2017
"294","TRESPASS 3, CRIMINAL","CRIMINAL TRESPASS","M","25-44","F","WHITE",40.623138678,-74.0297060039999,2017
"295","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","25-44","F","WHITE HISPANIC",40.8346233600001,-73.920766358,2017
"296","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE HISPANIC",40.7002567220001,-73.937728582,2017
"297","AGGRAVATED HARASSMENT 1","MISCELLANEOUS PENAL LAW","F","25-44","F","WHITE",40.7167448940001,-74.000376613,2017
"298","UNAUTHORIZED USE VEHICLE 2","MISCELLANEOUS PENAL LAW","F","25-44","M","BLACK",40.851331181,-73.9402873029999,2017
"299","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","25-44","M","BLACK",40.67459999,-73.930574822,2017
"300","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","25-44","M","WHITE",40.8187405150001,-73.9142531639999,2017
"301","ALCOHOLIC BEVERAGE CONTROL LAW","ALCOHOLIC BEVERAGE CONTROL LAW","M","45-64","M","BLACK",40.822918276,-73.952886438,2017
"302","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","WHITE HISPANIC",40.7117164470001,-73.9968632819999,2017
"303","UNAUTHORIZED USE VEHICLE 2","MISCELLANEOUS PENAL LAW","F","18-24","M","BLACK",40.6082151910001,-73.947221537,2017
"304","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","25-44","M","WHITE HISPANIC",40.6978884920001,-73.956801115,2017
"305","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","45-64","M","BLACK",40.842890754,-73.91357148,2017
"306","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","<18","M","BLACK HISPANIC",40.832383212,-73.8791074759999,2017
"307","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","25-44","M","WHITE HISPANIC",40.853239381,-73.907875626,2017
"308","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","<18","M","BLACK",40.7996652640001,-73.9471997799999,2017
"309","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","M","WHITE",40.737082284,-73.9829622999999,2017
"310","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","WHITE HISPANIC",40.882862131,-73.90357449,2017
"311","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","WHITE",40.741288464,-73.902566861,2017
"312","RIOT 2/INCITING","OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV","M","25-44","M","BLACK",40.6418758040001,-73.933704114,2017
"313","CHILD, ENDANGERING WELFARE","SEX CRIMES","M","18-24","M","WHITE HISPANIC",40.70426739,-73.89355376,2017
"314","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","WHITE",40.679980738,-73.7762339069999,2017
"315","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","BLACK HISPANIC",40.661582383,-73.915478821,2017
"316","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.844139945,-73.900388618,2017
"317","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK HISPANIC",40.8410565030001,-73.853095466,2017
"318","CRIMINAL CONTEMPT 1","MISCELLANEOUS PENAL LAW","F","18-24","M","BLACK",40.6769808330001,-73.937310479,2017
"319","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","18-24","M","BLACK",40.663321045,-73.9210527339999,2017
"320","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.8812185300001,-73.904137398,2017
"321","MISCHIEF,CRIMINAL,    UNCL 2ND DEG 3RD DEG","CRIMINAL MISCHIEF & RELATED OFFENSES","F","<18","M","WHITE HISPANIC",40.833690979,-73.885750699,2017
"322","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","25-44","F","BLACK",40.822298485,-73.9116941309999,2017
"323","RESISTING ARREST","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","M","BLACK",40.7470435280001,-73.987128148,2017
"324","TAMPERING 3,2, CRIMINAL","CRIMINAL MISCHIEF & RELATED OFFENSES","M","18-24","M","BLACK",40.835094247,-73.9080489149999,2017
"325","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","<18","F","BLACK",40.6312571600001,-73.945996398,2017
"326","MENACING,UNCLASSIFIED","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.6662626790001,-73.90547004,2017
"327","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","45-64","F","WHITE",40.626226376,-74.1578255749999,2017
"328","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.698330894,-73.9174950729999,2017
"329","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","<18","M","BLACK",40.7669050060001,-73.963731019,2017
"330","CRIMINAL MISCHIEF 4TH, GRAFFITI","CRIMINAL MISCHIEF & RELATED OFFENSES","M","18-24","M","BLACK HISPANIC",40.820540001,-73.869272757,2017
"331","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","M","WHITE",40.6664944,-73.921622116,2017
"332","CONTROLLED SUBSTANCE,SALE 3","DANGEROUS DRUGS","F","18-24","M","BLACK",40.716344152,-74.001253193,2017
"333","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","45-64","M","WHITE",40.5903888220001,-74.192939756,2017
"334","CONTROLLED SUBSTANCE,POSSESS. 1","DANGEROUS DRUGS","F","18-24","M","BLACK",40.674020999,-73.886006192,2017
"335","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","WHITE",40.59406298,-73.960868693,2017
"336","UNAUTHORIZED USE VEHICLE 3","UNAUTHORIZED USE OF A VEHICLE 3 (UUV)","M","45-64","M","BLACK",40.6759764020001,-73.963023382,2017
"337","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","25-44","M","WHITE",40.844139945,-73.900388618,2017
"338","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.7795059970001,-73.9555855039999,2017
"339","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","WHITE",40.637804112,-74.0769851009999,2017
"340","ADM.CODE,UNCLASSIFIED VIOLATION","ADMINISTRATIVE CODE","V","25-44","M","BLACK",40.6952971040001,-73.9433877339999,2017
"341","TRAFFIC,UNCLASSIFIED MISDEMEANOR","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.5803685180001,-73.967605103,2017
"342","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","F","BLACK",40.7597939010001,-73.9762893939999,2017
"343","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","BLACK HISPANIC",40.830145224,-73.891878074,2017
"344","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","65+","M","UNKNOWN",40.6984396940001,-73.831129539,2017
"345","CONTROLLED SUBSTANCE, INTENT TO SELL 5","DANGEROUS DRUGS","F","25-44","M","BLACK HISPANIC",40.8627205980001,-73.8931374599999,2017
"346","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","F","BLACK",40.689938022,-73.981477894,2017
"347","LEAVING SCENE-ACCIDENT-PERSONA","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.855802743,-73.843909954,2017
"348","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","25-44","M","WHITE HISPANIC",40.8377816180001,-73.919457971,2017
"349","STRANGULATION 1ST","FELONY ASSAULT","F","25-44","M","BLACK",40.869407492,-73.879998313,2017
"350","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","45-64","M","BLACK HISPANIC",40.825100443,-73.8948563499999,2017
"351","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","M","BLACK",40.6726962490001,-74.011724827,2017
"352","CONTROLLED SUBSTANCE,POSSESS. 1","DANGEROUS DRUGS","F","25-44","M","WHITE HISPANIC",40.834897272,-73.937754347,2017
"353","MARIJUANA, SALE 4 & 5","DANGEROUS DRUGS","M","45-64","M","BLACK",40.805412948,-73.9419611929999,2017
"354","SEXUAL ABUSE 1","SEX CRIMES","F","45-64","M","WHITE HISPANIC",40.816391847,-73.895296414,2017
"355","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","45-64","M","BLACK",40.8407838580001,-73.936252607,2017
"356","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","<18","M","BLACK",40.6654655500001,-73.935605518,2017
"357","NY STATE LAWS,UNCLASSIFIED MISDEMEANOR","OTHER STATE LAWS (NON PENAL LAW)","M","45-64","F","WHITE HISPANIC",40.7533352290001,-73.871794027,2017
"358","INCOMPETENT PERSON,KNOWINGLY ENDANGERING","ENDAN WELFARE INCOMP","F","25-44","M","WHITE HISPANIC",40.7188816870001,-73.9822057759999,2017
"359","CRIMINAL MISCHIEF 4TH, GRAFFITI","CRIMINAL MISCHIEF & RELATED OFFENSES","M","45-64","M","WHITE",40.7627481260001,-73.9596974689999,2017
"360","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","45-64","M","BLACK",40.678878851,-73.92164722,2017
"361","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK HISPANIC",40.808373589,-73.914107578,2017
"362","TRAFFIC,UNCLASSIFIED INFRACTION","OTHER TRAFFIC INFRACTION","M","25-44","M","BLACK",40.663133397,-73.962432161,2017
"363","TRAFFIC,UNCLASSIFIED MISDEMEANOR","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.6731578010001,-73.896191803,2017
"364","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","18-24","M","WHITE HISPANIC",40.737704028,-73.8822310099999,2017
